Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
6290006f	jal	x0,100ea8	  x0=0x00000000
0057a023	sw	x5,0(x15)	 x15:0x00020000  x5:0x0000006d PA:0x00020000 store:0x0000006d load:0x00000000
00354303	lbu	x6,3(x10)	 x10:0x001019b8  x6=0x0000000a PA:0x001019bb store:0x00000000
04030263	beq	x6,x0,100110	  x6:0x0000000a  x0:0x00000000
0067a023	sw	x6,0(x15)	 x15:0x00020000  x6:0x0000000a PA:0x00020000 store:0x0000000a load:0x00000000
00454383	lbu	x7,4(x10)	 x10:0x001019b8  x7=0x0000000a PA:0x001019bc store:0x00000000
02038c63	beq	x7,x0,100110	  x7:0x0000000a  x0:0x00000000
0077a023	sw	x7,0(x15)	 x15:0x00020000  x7:0x0000000a PA:0x00020000 store:0x0000000a load:0x00000000
00554583	lbu	x11,5(x10)	 x10:0x001019b8 x11=0x00000000 PA:0x001019bd store:0x0000006d
02058663	beq	x11,x0,100110	 x11:0x00000000  x0:0x00000000
00000513	addi	x10,x0,0	  x0:0x00000000 x10=0x00000000
00008067	jalr	x0,0(x1)	  x1:0x00100fe0  x0=0x00000000
001026b7	lui	x13,0x102	 x13=0x00102000
92c6a787	flw	f15,-1748(x13)	 f13:0x00102000 f15=0x00000000 PA:0x0010192c store:0x00000000
00102737	lui	x14,0x102	 x14=0x00102000
93072007	flw	f0,-1744(x14)	 f14:0x00102000  f0=0x00000000 PA:0x00101930 store:0x00000000
001027b7	lui	x15,0x102	 x15=0x00102000
9347a087	flw	f1,-1740(x15)	 f15:0x00102000  f1=0x00000000 PA:0x00101934 store:0x00000000
